forSale	properties	openSale	high_quality_image	isHiddenPlatform	job_id	artifactUri	ipfs	baking_time_in_minutes	expiration	statusMint	background	image_details	resellable	intermediateLevelSegment	small	mid	subtitle	iframe_url	pfp	typeContract	core_attributes	description	media_type	liveModel	initialLevelSegment	contractAddress	uniqueComboId	publishers	name	animation_url	original	image_transparent	minted	action	royaltyInfo	interactive_nft	url	hash	salt	nameJP	timestamp	byoaVersion	imageUri	fiatPrice	aspect ratio (w/h)	audio_url	price	image_ipfs	subscription	tier	tokenID	finalLevelSegment	seedResult	date	poster	image_data	imageArweave	external_url	title	image_url	versions_url	ipfs_image	identifier	verificationBundle	sample	attributes	genre	verificationSignature	vote_balance	baking_temp_in_celsius	is_features_added	colorThief	tokenId	symbol	iimage	drop	seller_fee_basis_points	revealed	seed	isRevealed	file_key	by	minter	vectorHash	transparent_animation_url	Attributes	prestige	imageUrl	physical_specifications_uri	twitter	assets	large_image	sha256	category	__v	website	descriptionJP	categories	gene	artist_address	scale	token_uri	thumbnail	globeObjects	attr	priceUSD	externalUri	txHash	medium_image	image_thumbnail_url	chainId	spaceObjects	token_number	external_uri	baseURI	imageIpfs	nonce	preview	baseSpeed	royalty_info	medium_quality_image	color	numAvailable	high_resolution	payout_address	additional_image	created_by	uses hash	isRare	_id	no	wisdom:	note	id	uuid	is_opened	file	originalimage	particleColor	compiler	owners	generation	image_preview_url	ethPrice	offset	imageMimeType	copyright_transfer	collection_id	trait	usecase	mediaMimeType	editions	asset_tag	fee_recipient	displayUri	playdapp	cargoDisplayContent	terrain	background_color	imageHash	rarity_level	seoImage	traits	parameters	token_hash	verificationHash	nft_number	royalties	canvases	address	contents	about	borrow	imageanim	eye	thumbnailUri	twitterBanner	web_url	aspect_ratio	question	blockchain	combination	collection_name	texture_url	edition_number	decimals	status	preview_images	skills	dna	artist_link	script	collection_url	amountToMint	nft_class	external_url_more_info	uri	fileName	countInit	moji_id	youtube_url	token_id	type	misc	internal_id	formats	asset_size_in_bytes	original_art_url	image_original_url	license	media_url	is_alpha	cid	typeSale	features	apiURL	card_amounts	script type	gender	contentType	tags	discord	home_url	adultContent	nonceTimestamp	animal	tokenHash	external_link	original_creator	artist_name	web_cid	nftAddress	edition_total	animation_details	small_image	maskup	pngHash	random_seed	visibility	is_locked	source_code	vm_designer	Thumbnail	src_url	colors	owner	ipfs_url	isBooleanAmount	byoa	creators	reflectivity	dominantColor	thumbnail_url	library	gallery_glb_uri	transactionHash	answer	expired	animation	sandbox	shouldPreferSymbol	packed	available_tiers	particleShape	nft_contract_address	extension_uri	issues	license_url	dependencies	seedBase	image_mime_type	artist	fingerprint	resources	nftsHistory	signature	contract	authorRoyalty	publish	colorCode	image_arweave_uri	tokenIndex	comingSoon	media	monster	image	octpass	recipe_id	provenanceSequenceNumber	platform	matrix	creator	language	noise	logo	exclusive	asset_type	file_metadata	Edition	student_id	base	edition	exhibition	author	Extension	decentralized_interactive_url	series	mintedOn	mimeType	version	collection
																						A sonic jo							I guess I'll just let go...																															https://arweave.net/4VBN5ICUhpTplK63hzAZV6t1B9dUINwuv6yImANFaNI						trait_type,value							151																																					https://universeapp-assets-prod.s3.amazonaws.com/d1c2f7c54f7d3cb52a606bf3268af6e006e35001380adec7.mp4																																	https://universeapp-assets-prod.s3.amazonaws.com/b459b28206c71ac9d531b9a7d555a80a2fc2bea453623129.mp4																									[{'amount': 10, 'address': '0x5473580406d12e1cbd4c00b77e158fff0ce9424e'}]																																									https://universeapp-assets-prod.s3.amazonaws.com/d1c2f7c54f7d3cb52a606bf3268af6e006e35001380adec7.mp4																																																																																																						0x6Bc88860CABe484097471c2dFfFA0EA0Fc280025
																						LET THE AR							Ideas Hürt #16/31	https://res.cloudinary.com/nifty-gateway/video/upload/v1633569852/Andrea/SeanWilliams/Drop2/IDEASHURT_zllt9m.mp4																												https://niftygateway.com/#/															15500010016																																																																																						ffffff																																																																																																																															https://res.cloudinary.com/nifty-gateway/video/upload/v1633569852/Andrea/SeanWilliams/Drop2/IDEASHURT_zllt9m.png																									0x54651c97557dE7CE5cf307740ec2E1fdc9467c0a
																						A weird na							WolfGang #100																													https://thewolfgang.club/wolf/100								trait_type,value							100																																																																																																																																																																																																																					https://thewolfgang.nyc3.digitaloceanspaces.com/100.png																									0xC269bDD2975a3D5B23B315dD83B82FDfbf4Ac4d9
																						This banan							My Banana #0, Fucko!																																					trait_type,value							0																																																																																																																																																																																																																					ipfs://QmU2PtPoeJCXjiZ2bL8S2RsfbQT3D3jE4225wHJwcSPBgi/0																									0xF4242bDcA33715De7207A38ab9E5157255c48979
																						We are Blo							Hamsters																													hamsterssquad.com								value,trait_type							15																																																																																																																																																																																																																					https://gateway.pinata.cloud/ipfs/QmZqSFnuB3SYGK4UfU9fafvaYKXe248NHti6GZkW6hm5Qd/3379.png																									0x26f1077Ae1CAE792880d5d2ddf1A13bC379813C7
																						The Animal							Animal #1104																													https://animalworldwar.io/								trait_type,value							1104																																																																																																																																																																																																																					https://s3.us-east-2.amazonaws.com/images.aww/sox5KqhG1UtJi06ROET6NaW5jfhpy8.png																									0x63D2DC90ceB3AE69d0c09EEa7b6d425fb64C92a7
																						ETERNAL FR							ETERNAL FRAGMENT #1009																																					trait_type,value							1009																																																																																																																																																																																																																					ipfs://QmZw258yHDkqE3Y71kbvFJg2c4wq3LDpvM7vGCGcmm11Jb																									0xC8100dD81e0D8D0901b7b5831e575b03E1489057
																																																																									1																																																																																																																																																																																																																																														0x657F49b422f98B3092F27add6210831BF2e56622
																						300 Random							INTERSTELLAR PLANETS GALAXY																																					trait_type,value							114																																																																																																																																																																																																																					https://gateway.pinata.cloud/ipfs/QmSRaF6ubMFtBW2on1zqaFVnoBFBpKxYGRJgXejTJEv98d/114.png																									0x36e452d0D65ec505294609548A07eF2706d1fbC5
																													Birman #01020																													https://api.aworld.vip/token/1020								trait_type,value							1020																																																																																																																		BLIND																																																																																																			https://mayas3.s3.ap-southeast-1.amazonaws.com/token/1020.png																									0x9DD89B365A447C7673Cb4495e9dDF7fdac36d072
