attributes	external_url	name	tokenId	collection	image	description
trait_type,value	https://evilteddybearclub.com	Creepy Kids #1000	1000	0x0E6BD1b518bAF831806Da123E1Feac7F9eDd7E99	https://creepykids.nyc3.digitaloceanspaces.com/image/1000.png	Who would 
			15	0x79964948eA58e0FCC543f6069358C4d667b78057		
