,Event timestamp,tokenId,event_type
0,2022-07-30T10:06:54.824083,8027,created
1,2022-07-30T09:59:56.540743,9189,created
2,2022-07-30T09:49:59,3456,successful
3,2022-07-30T09:49:59,3456,transfer
4,2022-07-30T09:46:31,9189,transfer
5,2022-07-30T09:45:26,6767,transfer
6,2022-07-30T09:44:02.929052,6876,created
7,2022-07-30T09:43:59.860250,5963,created
8,2022-07-30T09:40:39,2475,transfer
9,2022-07-30T09:38:24.578881,6467,created
10,2022-07-30T09:35:59.139101,3456,created
11,2022-07-30T09:30:20.575881,7539,created
12,2022-07-30T09:29:22,1832,transfer
13,2022-07-30T09:29:05,7539,cancelled
14,2022-07-30T09:27:31.333179,7539,created
15,2022-07-30T09:25:02,1790,cancelled
16,2022-07-30T09:25:02,1790,cancelled
17,2022-07-30T09:23:38,5402,cancelled
18,2022-07-30T09:23:38,7768,cancelled
19,2022-07-30T09:23:38,5402,cancelled
20,2022-07-30T09:23:38,7768,cancelled
21,2022-07-30T09:23:38,5402,cancelled
22,2022-07-30T09:23:38,7768,cancelled
23,2022-07-30T09:21:51.408738,3148,created
24,2022-07-30T09:20:34.269513,3420,created
25,2022-07-30T09:18:38.425168,9980,created
26,2022-07-30T09:17:46.450709,6507,created
27,2022-07-30T09:13:02,6467,transfer
28,2022-07-30T09:07:48.647335,7203,created
29,2022-07-30T08:52:26.567397,4040,created
30,2022-07-30T08:48:09.640218,7203,created
31,2022-07-30T08:34:22,1555,transfer
32,2022-07-30T08:10:08.523648,1285,created
33,2022-07-30T08:05:27.874431,4211,created
34,2022-07-30T08:03:46,9454,transfer
35,2022-07-30T08:03:46,9454,successful
36,2022-07-30T08:02:52.834614,5771,created
37,2022-07-30T08:00:29.859043,1494,created
38,2022-07-30T07:59:50.531987,9432,created
39,2022-07-30T07:48:20.405091,6507,created
40,2022-07-30T07:47:18.534973,2349,created
41,2022-07-30T07:45:44,6507,cancelled
42,2022-07-30T07:45:44,6507,cancelled
43,2022-07-30T07:45:44,6507,cancelled
44,2022-07-30T07:45:44,6507,cancelled
45,2022-07-30T07:45:44,6507,cancelled
46,2022-07-30T07:40:46,6824,cancelled
47,2022-07-30T07:16:34.113116,6876,created
48,2022-07-30T07:15:06.321663,8458,created
49,2022-07-30T07:03:10.370159,6507,created
50,2022-07-30T07:02:29.149649,1799,created
51,2022-07-30T06:36:15.113428,6876,created
52,2022-07-30T06:33:33,7477,cancelled
53,2022-07-30T06:27:41.828359,9035,created
54,2022-07-30T06:26:17.214403,2252,created
55,2022-07-30T06:19:39,4658,successful
56,2022-07-30T06:19:39,4658,transfer
57,2022-07-30T06:16:54,9035,transfer
58,2022-07-30T06:06:19.321205,7203,created
59,2022-07-30T06:05:39,6115,successful
60,2022-07-30T06:05:39,6115,transfer
61,2022-07-30T06:02:38,7658,transfer
62,2022-07-30T06:02:38,7658,successful
63,2022-07-30T05:59:49.306928,1698,created
64,2022-07-30T05:41:39.484622,1601,created
65,2022-07-30T05:37:29.739472,3397,created
66,2022-07-30T05:36:42.991271,9587,created
67,2022-07-30T05:36:22,7794,transfer
68,2022-07-30T05:26:42,8504,transfer
69,2022-07-30T05:26:05,6674,transfer
70,2022-07-30T05:26:05,3558,transfer
71,2022-07-30T05:24:13.192800,9751,created
72,2022-07-30T05:13:27.562725,6559,created
73,2022-07-30T05:10:01,6674,transfer
74,2022-07-30T05:10:01,3558,transfer
75,2022-07-30T04:51:00.529826,7203,created
76,2022-07-30T04:44:01.525651,2925,created
77,2022-07-30T04:34:59,6068,transfer
78,2022-07-30T04:31:33.416429,1731,created
79,2022-07-30T04:28:51.647331,4218,created
80,2022-07-30T04:28:00.204312,2411,created
81,2022-07-30T04:27:55,9039,transfer
82,2022-07-30T04:27:55,3845,transfer
83,2022-07-30T04:27:55,2067,transfer
84,2022-07-30T04:27:55,1661,transfer
85,2022-07-30T04:19:08,5495,transfer
86,2022-07-30T04:13:11,6068,transfer
87,2022-07-30T03:55:49,5555,transfer
88,2022-07-30T03:54:34.678046,8743,created
89,2022-07-30T03:50:15,5495,transfer
90,2022-07-30T03:47:30.725468,2986,created
91,2022-07-30T03:45:45,2986,cancelled
92,2022-07-30T03:45:10,8743,cancelled
93,2022-07-30T03:42:51,8743,cancelled
94,2022-07-30T03:42:10,8743,cancelled
95,2022-07-30T03:38:45,8743,cancelled
96,2022-07-30T03:37:50,6765,cancelled
97,2022-07-30T03:37:30,6765,cancelled
98,2022-07-30T03:34:23.500934,2446,created
99,2022-07-30T03:32:11.256757,2203,created
100,2022-07-30T03:31:48,4652,transfer
101,2022-07-30T03:31:08.571926,2464,created
102,2022-07-30T03:25:53,7760,successful
103,2022-07-30T03:25:53,7760,transfer
104,2022-07-30T03:24:05.836834,6507,created
105,2022-07-30T03:22:55,4652,transfer
106,2022-07-30T03:20:18.935012,7760,created
107,2022-07-30T03:11:07.715898,2446,created
108,2022-07-30T02:59:27.472411,2446,created
109,2022-07-30T02:58:58.884238,8393,created
110,2022-07-30T02:56:29.465986,5540,created
111,2022-07-30T02:53:18.118313,2446,created
112,2022-07-30T02:48:34.916762,1081,created
113,2022-07-30T02:44:33.593940,4108,created
114,2022-07-30T02:44:25.248847,7760,created
115,2022-07-30T02:41:26.022753,2446,created
116,2022-07-30T02:39:32.380623,6640,created
117,2022-07-30T02:36:21.594906,5026,created
118,2022-07-30T02:35:12.016876,2446,created
119,2022-07-30T02:21:57.784357,2446,created
120,2022-07-30T02:18:39.846785,8105,created
121,2022-07-30T02:18:09.678451,3976,created
122,2022-07-30T02:17:36.398072,2446,created
123,2022-07-30T02:17:27,9176,cancelled
124,2022-07-30T02:17:27,9176,cancelled
125,2022-07-30T02:14:43.109595,6168,created
126,2022-07-30T02:12:35.152637,2446,created
127,2022-07-30T02:11:43.334763,7682,transfer
128,2022-07-30T02:11:43.209412,7682,transfer
129,2022-07-30T02:11:42.599730,9176,transfer
130,2022-07-30T02:11:42.468224,9176,transfer
131,2022-07-30T02:11:42.288309,1820,transfer
132,2022-07-30T02:11:26,1820,successful
133,2022-07-30T02:10:10.875907,2446,created
134,2022-07-30T02:04:46.180029,4624,created
135,2022-07-30T02:04:02,2907,transfer
136,2022-07-30T01:58:58,3355,transfer
137,2022-07-30T01:58:58,3355,successful
138,2022-07-30T01:55:52.769618,8739,created
139,2022-07-30T01:50:41.892977,8796,created
140,2022-07-30T01:48:37.560371,5096,created
141,2022-07-30T01:46:46,4866,transfer
142,2022-07-30T01:46:16.766105,6471,created
143,2022-07-30T01:46:15.480688,6011,created
144,2022-07-30T01:45:16,9064,transfer
145,2022-07-30T01:40:40,4866,transfer
146,2022-07-30T01:38:54.666031,8393,created
147,2022-07-30T01:38:18.241749,5540,created
148,2022-07-30T01:38:17,6736,transfer
149,2022-07-30T01:38:08.282267,5096,created
150,2022-07-30T01:37:25.179709,6168,created
151,2022-07-30T01:37:10.460209,6011,created
152,2022-07-30T01:34:22,2249,transfer
153,2022-07-30T01:31:20,6490,transfer
154,2022-07-30T01:31:07.639942,27,created
155,2022-07-30T01:30:47,2475,transfer
156,2022-07-30T01:30:15.683200,4218,created
157,2022-07-30T01:29:02.406878,9742,created
158,2022-07-30T01:28:37.362173,2446,created
159,2022-07-30T01:27:45,4218,transfer
160,2022-07-30T01:27:45,4218,successful
161,2022-07-30T01:26:29,9742,transfer
162,2022-07-30T01:26:29,9742,successful
163,2022-07-30T01:25:31,6471,transfer
164,2022-07-30T01:13:58.073809,2446,created
165,2022-07-30T01:13:07.782520,5396,created
166,2022-07-30T00:59:12.646743,2446,created
167,2022-07-30T00:57:56,5548,transfer
168,2022-07-30T00:57:50.005271,2446,created
169,2022-07-30T00:55:49,5057,transfer
170,2022-07-30T00:55:18.772200,5096,created
171,2022-07-30T00:54:41,4374,successful
172,2022-07-30T00:54:41,4374,transfer
173,2022-07-30T00:51:48.457253,6168,created
174,2022-07-30T00:51:32.361904,6011,created
175,2022-07-30T00:50:53.343596,2446,created
176,2022-07-30T00:42:30.755619,9176,created
177,2022-07-30T00:41:37.422926,6471,created
178,2022-07-30T00:40:40,2625,cancelled
179,2022-07-30T00:38:03.749541,4218,created
180,2022-07-30T00:37:08.821183,5518,created
181,2022-07-30T00:36:10.712530,7503,created
182,2022-07-30T00:35:33.266468,6835,created
183,2022-07-30T00:34:58.287081,9404,created
184,2022-07-30T00:32:56,7693,transfer
185,2022-07-30T00:27:07,6183,transfer
186,2022-07-30T00:27:07,4648,transfer
187,2022-07-30T00:26:46.387763,1889,created
188,2022-07-30T00:22:22.343553,2446,created
189,2022-07-30T00:20:55.059016,5026,created
190,2022-07-30T00:20:27,2081,transfer
191,2022-07-30T00:20:04,8360,transfer
192,2022-07-30T00:18:30.202907,4374,created
193,2022-07-30T00:18:22,9930,successful
194,2022-07-30T00:18:22,9930,transfer
195,2022-07-30T00:18:01.358736,6835,created
196,2022-07-30T00:07:59.779393,3689,created
197,2022-07-30T00:07:00.417498,1015,created
198,2022-07-30T00:02:36,2511,successful
199,2022-07-30T00:02:36,2511,transfer
