Design	to	image	projectLogo	id	date	collectionAddress	createdBy	media	background_color	Marketing	project	addresses	image_ipfs	yearCreated	attributes	google_image	home_url	collection_name	owner	artDesc	values	sealed	totalValue	tokenId	artist	Development	collection	transparent_image	live	fee_recipient	ipfs_image	website	youtube_url	high_quality_image	name	external_url	platform	hash	dynamic	compiler	thumbnail_url	maxTokens	private	probability	network	dropVersion	tokenHash	claimedBy	signature	seller_fee_basis_points	edition	dapp	is_dynamic	origDescription	tags	token_id	rewrites	state	nonce	transparent_animation_url	dailyYield	description	success	imageHash	image_url	ipfs	image_medium	curation_status	year	rarity	status	dna	transparent_staked_url	license	image_small	animation_url	image_large	ownedImage
		ipfs://QmY7tNqLD73E1H8tRpRHMFKpJtbnr7ZXZBA3xqTitHj8hm													trait_type,value												0xC8BcbE0E8ae36D8f9238cd320ef6dE88784B1734								Winter Bear #1																											Winter Bea																
		ipfs://QmSSjWqEhiVgnabRpWCDndDfxzA7gGd6yj7d2mZajdZ9mU													trait_type,value												0xC8BcbE0E8ae36D8f9238cd320ef6dE88784B1734								Winter Bear #1001																											Winter Bea																
		https://ipfs.io/ipfs/QmNn6DCXU3iNP1LpAZ1KyaY4MNkjBfBd3BPtMfj9NCWmqe/1004.png			1635445993679										trait_type,value												0x0be5dd8Dc316a936942B1f58667c9ea1Ebb71E07								Kishuverse #1004																1004											Official K										fdac64d53d750379a72b5fc4f4bf14151318ad0b						
		https://ipfs.io/ipfs/QmNn6DCXU3iNP1LpAZ1KyaY4MNkjBfBd3BPtMfj9NCWmqe/1017.png			1635445995431										trait_type,value												0x0be5dd8Dc316a936942B1f58667c9ea1Ebb71E07								Kishuverse #1017																1017											Official K										8b25e3a9b6e48547e2d25c19ec06110d7f0d9da7						
		https://ipfs.io/ipfs/QmNn6DCXU3iNP1LpAZ1KyaY4MNkjBfBd3BPtMfj9NCWmqe/1019.png			1635445995707										trait_type,value												0x0be5dd8Dc316a936942B1f58667c9ea1Ebb71E07								Kishuverse #1019																1019											Official K										cf3dd98f08940437220e42617fc222e739162640						
		ipfs://QmeZSftBbcYimxhTCW8KKwinV33eHmL33vqWAJ1nwajci8/6156.png			1635862391075										trait_type,value												0xea5F32ed4044c44c44AB833d8071E672AAD142ff								#6156					HashLips Art Engine											6156											Mutant Gor										b27c416363751e984dddd2312f17e5b457849a7c						
		ipfs://QmeZSftBbcYimxhTCW8KKwinV33eHmL33vqWAJ1nwajci8/6156.png			1635862391075										trait_type,value												0xea5F32ed4044c44c44AB833d8071E672AAD142ff								#6156					HashLips Art Engine											6156											Mutant Gor										b27c416363751e984dddd2312f17e5b457849a7c						
		ipfs://QmeZSftBbcYimxhTCW8KKwinV33eHmL33vqWAJ1nwajci8/7612.png			1635864081056										trait_type,value												0xea5F32ed4044c44c44AB833d8071E672AAD142ff								#7612					HashLips Art Engine											7612											Mutant Gor										0413bc4165a613f901b904bbfeace00843da743e						
		https://gateway.pinata.cloud/ipfs/QmcGQ3D8jCBdZZeCUGR6PBFt7tEmrULBLaCFf5h7baGV1Q													trait_type,value									1020			0xA2480eB41Dd1F2B0aBADe9f305826C544d47f696								Frog #1020	https://www.infinityfrogs.com																										Leap towar																
		https://gateway.pinata.cloud/ipfs/QmYpXd8eogjZ5ZD55hrsctqfpAg2LgAU7ZK1x1LSZJvsyJ													trait_type,value									1022			0xA2480eB41Dd1F2B0aBADe9f305826C544d47f696								Frog #1022	https://www.infinityfrogs.com																										Leap towar																
