																																																																																				0x375ea781c49EaFEdDE07AFe6196f885761f166Ae																																																														
																																																																																				0x375ea781c49EaFEdDE07AFe6196f885761f166Ae																																																														
						Groupie #1184																																																																value,trait_type														0x4f89Cd0CAE1e54D98db6a80150a824a533502EEa																										https://gateway.pinata.cloud/ipfs/QmYGWD9qa2TkxXMs9YFjhj3XV7i4TfGk4qUUsHcDJ55dfV																			A peaceful																	
						Groupie #2556																																																			https://gateway.pinata.cloud/ipfs/QmNdKX2wKU1A2uM2bWeKke4sWidWP2BzYS5TD5AaQNWo8r													value,trait_type														0x4f89Cd0CAE1e54D98db6a80150a824a533502EEa																										https://gateway.pinata.cloud/ipfs/QmNdKX2wKU1A2uM2bWeKke4sWidWP2BzYS5TD5AaQNWo8r																			A peaceful																	
						#6598																																																																value,trait_type														0xEd595cFD58d32Bb9d200AaB5B9afD9dbdeBdf9F4																			https://hashguise.com							ipfs://QmdXwRwVD5Gt982CVdsoa66ScuJEMK4BYsDMosEsPLDkFd																			HashGuise 																	
						#6599																																																																value,trait_type														0xEd595cFD58d32Bb9d200AaB5B9afD9dbdeBdf9F4																			https://hashguise.com							ipfs://Qmamri9nfA4gGvfdnBUxKnTDRfzuV7jAeSGf5aF3iCofXP																			HashGuise 																	
						CrypToadz #197																																																																value,trait_type														0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6																			https://cryptoadz.io							ipfs://QmXbiE195DDshGUhrEj2gi56DviXn5FsUFARZ6gBGYJnrk																			A small, w																	
						CrypToadz #2900																																																																value,trait_type														0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6																			https://cryptoadz.io							ipfs://QmWUrRFai7qr1WRrYhmVXFhit9NbLXktFcjMo6Bfigvep1																			A small, w																	
						PUPPY #618																																																																value,trait_type														0x73883743Dd9894bd2D43e975465b50DF8d3aF3B2																			https://thedogepoundnft.com							https://thedogepoundapi.com/puppies/118718a2-f689-48e4-9ab5-5912ae177dcd.png																			The Doge P																	
						Puff-Puff-Pass#26												https://liveassets.monsterbuds.io/Monster/MB_PuffPuffPass.gif																																							https://liveassets.monsterbuds.io/Monster/MB_PuffPuffPass.gif													value,trait_type														0x6317C4CAB501655D7B85128A5868E98a094C0082																			https://monsterbuds.io																																											
						Puff-Puff-Pass#737												https://liveassets.monsterbuds.io/Monster/MB_PuffPuffPass.gif																																							https://liveassets.monsterbuds.io/Monster/MB_PuffPuffPass.gif													value,trait_type														0x6317C4CAB501655D7B85128A5868E98a094C0082																			https://monsterbuds.io																																											
						Bag #1010812																																																																														0x1dfe7Ca09e99d10835Bf73044a23B73Fc20623DF																										data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHByZXNlcnZlQXNwZWN0UmF0aW89InhNaW5ZTWluIG1lZXQiIHZpZXdCb3g9IjAgMCAzNTAgMzUwIj48c3R5bGU+LmJhc2UgeyBmaWxsOiB3aGl0ZTsgZm9udC1mYW1pbHk6IHNlcmlmOyBmb250LXNpemU6IDE0cHg7IH08L3N0eWxlPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9ImJsYWNrIiAvPjx0ZXh0IHg9IjEwIiB5PSIyMCIgY2xhc3M9ImJhc2UiPiJNaW5kIE1vb24iIEJvb2sgb2YgdGhlIFR3aW5zICsxPC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSI0MCIgY2xhc3M9ImJhc2UiPkxlYXRoZXIgQXJtb3I8L3RleHQ+PHRleHQgeD0iMTAiIHk9IjYwIiBjbGFzcz0iYmFzZSI+Q3Jvd248L3RleHQ+PHRleHQgeD0iMTAiIHk9IjgwIiBjbGFzcz0iYmFzZSI+IkJsaWdodCBCZW5kZXIiIFNhc2ggb2YgdGhlIEZveCArMTwvdGV4dD48dGV4dCB4PSIxMCIgeT0iMTAwIiBjbGFzcz0iYmFzZSI+RGl2aW5lIFNsaXBwZXJzPC90ZXh0Pjx0ZXh0IHg9IjEwIiB5PSIxMjAiIGNsYXNzPSJiYXNlIj5Ib2x5IEdhdW50bGV0czwvdGV4dD48dGV4dCB4PSIxMCIgeT0iMTQwIiBjbGFzcz0iYmFzZSI+IkJyaW1zdG9uZSBHcmFzcCIgUGVuZGFudCBvZiBTa2lsbCArMTwvdGV4dD48dGV4dCB4PSIxMCIgeT0iMTYwIiBjbGFzcz0iYmFzZSI+R29sZCBSaW5nPC90ZXh0Pjwvc3ZnPg==																			More Loot 																	
